,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL,Address_latitude,Address_longitude
153,Hey Diddle Diddle,9/07/2024 10:30,40,Life Congregational Church Hall,"Corner of Ferdinand and Alexandra Street Hunters Hill, NSW 2110",29.12,47.66,,https://www.eventbrite.com.au/e/hey-diddle-diddle-tickets-898822531387?aff=ebdssbdestsearch,-33.8344989,151.1517912
154,Global Folk for Little Folk,10/07/2024 10:30,40,Tramsheds -Harold Park Community Hall,"Level 1 1 Dalgal Way Forest Lodge, NSW 2037",29.12,47.66,,https://www.eventbrite.com.au/e/global-folk-for-little-folk-tickets-916885187277?aff=ebdssbdestsearch,-33.87642221,151.1780541
155,Sinister Rituals 02,12/07/2024 20:00,420,Burdekin Hotel,"2 Oxford Street Darlinghurst, NSW 2010",13.27,28.86,,https://www.eventbrite.com.au/e/sinister-rituals-02-tickets-887372413777?aff=ebdssbdestsearch,-33.87713995,151.212953
156,FRI 12 JUL - WAO SUPERCLUB @ IVY,12/07/2024 21:30,,ivy precinct,"330 George Street Sydney, NSW 2000",22,60.5,,https://www.eventbrite.com.au/e/fri-12-jul-wao-superclub-ivy-tickets-920465857157?aff=ebdssbdestsearch,-33.86662343,151.2074597
157,SWAMPED,13/07/2024 19:00,298,Marrickville Bowling & Recreation Club,"91 Sydenham Road Marrickville, NSW 2204",27.78,27.78,,https://www.eventbrite.com.au/e/swamped-tickets-908630788147?aff=ebdssbdestsearch,-33.91052436,151.1641481
158,The Oils Tribute,13/07/2024 20:00,180,Club Belrose,"146 Forest Way Belrose, NSW 2085",22.49,22.49,,https://www.eventbrite.com.au/e/the-oils-tribute-tickets-781677427227?aff=ebdssbdestsearch,-33.73404443,151.2199001
159,Way Back When - A Night Of Classic Trance,13/07/2024 20:00,,Oxford Underground,"134 Oxford St Darlinghurst, NSW 2010",42.61,42.61,,https://www.eventbrite.com.au/e/way-back-when-a-night-of-classic-trance-tickets-899746254267?aff=ebdssbdestsearch,-33.88021284,151.2167193
160,The Anna Weaving Collective,13/07/2024 20:30,150,Foundry 616,"616 Harris Street Ultimo, NSW 2007",34.51,95.06,,https://www.eventbrite.com.au/e/the-anna-weaving-collective-tickets-913447174087?aff=ebdssbdestsearch,-33.88059765,151.2004608
161,Bark Division: 1st Birthday Ft Boxxy & Sillybitchesdie,13/07/2024 21:00,360,Burdekin Hotel,"2 Oxford Street Darlinghurst, NSW 2010",18.47,28.86,,https://www.eventbrite.com.au/e/bark-division-1st-birthday-ft-boxxy-sillybitchesdie-tickets-920537350997?aff=ebdssbdestsearch,-33.87713995,151.212953
162,So Fresh Party Sydney,13/07/2024 23:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,21.59,,https://www.eventbrite.com.au/e/so-fresh-party-sydney-tickets-913725927847?aff=ebdssbdestsearch,-33.87784571,151.2139323
