,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL,Address_latitude,Address_longitude
221,The Island : Island All Stars,20/10/2024 15:00,300,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",44.86,3967.75,,https://www.eventbrite.com.au/e/the-island-island-all-stars-tickets-909148165637?aff=ebdssbdestsearch,-33.87333658,151.2424899
222,Fleetwood Nicks Sydney Harbour Cruise,26/10/2024 18:00,240,King Street Wharf Darling Harbour,"Lime Street Sydney, NSW 2000",90,90,,https://www.eventbrite.com.au/e/fleetwood-nicks-sydney-harbour-cruise-tickets-888140641567?aff=ebdssbdestsearch,-33.86721169,151.2018565
223,A24 Halloween Sydney,26/10/2024 23:30,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,31.89,,https://www.eventbrite.com.au/e/a24-halloween-sydney-tickets-851899122207?aff=ebdssbdestsearch,-33.87784571,151.2139323
224,Emo Carnival 2024 - Emo Night Sydney,9/11/2024 20:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,31.89,,https://www.eventbrite.com.au/e/emo-carnival-2024-emo-night-sydney-tickets-921172229937?aff=ebdssbdestsearch,-33.87784571,151.2139323
225,"Neurologic Music Therapy Training Inst -  Nov 11-14 in Sydney, Australia",11/11/2024 8:00,300,Rydges Sydney Central,"28 Albion Street Surry Hills, NSW 2010",295.29,764.8,,https://www.eventbrite.ca/e/neurologic-music-therapy-training-inst-nov-11-14-in-sydney-australia-tickets-856508368587?aff=ebdssbdestsearch,-33.88187392,151.2095718
226,Celebrating 70 years of John Williams Music - Warners Bay Theatre,24/11/2024 15:00,,"Warners Bay Theatre, baramayiba","39 Lake Street Warners Bay, NSW 2282",32.8,48.6,,https://www.eventbrite.com.au/e/celebrating-70-years-of-john-williams-music-warners-bay-theatre-tickets-906627967657?aff=ebdssbdestsearch,-32.972289,151.6457344
227,Wicked Ball - Sydney,30/11/2024 21:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,31.89,,https://www.eventbrite.com.au/e/wicked-ball-sydney-tickets-841144775667?aff=ebdssbdestsearch,-33.87784571,151.2139323
228,Jazz Behind the Green Door Christmas Event,11/12/2024 18:00,90,St Stephens Uniting Church,"197 Macquarie Street Sydney, NSW 2000",17.19,17.19,,https://www.eventbrite.com.au/e/jazz-behind-the-green-door-christmas-event-tickets-808786120057?aff=ebdssbdestsearch,-33.8672905,151.2119879
229,The Island - Christmas Eve,24/12/2024 15:00,300,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",55.3,3967.75,,https://www.eventbrite.com.au/e/the-island-christmas-eve-tickets-909191144187?aff=ebdssbdestsearch,-33.87333658,151.2424899
230,SOUNDS ON  BOXING DAY,26/12/2024 13:00,,Greenwood Hotel,"36 Blue St North Sydney, NSW 2060",69.55,176.65,,https://www.eventbrite.com.au/e/sounds-on-boxing-day-tickets-919270983257?aff=ebdssbdestsearch,-33.84043488,151.2076935
